bill_number,dtg_date,lla_date,vetoed_by_gov,time_to_dtg
senate        Bill S79A,2011-11-30,2011-06-17,False,166 days
senate        Bill S149B,2012-08-06,2012-06-20,False,47 days
senate        Bill S175,2011-09-12,2011-06-21,False,83 days
senate        Bill S177A,2011-05-06,2011-05-03,False,3 days
senate        Bill S205,2011-04-15,2011-04-06,False,9 days
senate        Bill S215,2011-03-15,2011-03-08,False,7 days
senate        Bill S219A,2012-08-06,2012-06-18,False,49 days
senate        Bill S247A,2011-08-05,2011-06-22,True,44 days
senate        Bill S296B,2011-11-30,2011-06-21,True,162 days
senate        Bill S325,2011-07-08,2011-06-22,False,16 days
senate        Bill S331A,2011-07-22,2011-06-01,False,51 days
senate        Bill S333,2011-08-05,2011-06-17,False,49 days
senate        Bill S372A,2011-09-12,2011-06-23,True,81 days
senate        Bill S397,2011-08-05,2011-06-16,False,50 days
senate        Bill S452,2012-09-21,2012-06-14,True,99 days
senate        Bill S502A,2012-07-06,2012-05-31,False,36 days
senate        Bill S511A,2011-09-12,2011-06-17,True,87 days
senate        Bill S541A,2011-08-05,2011-06-15,False,51 days
senate        Bill S559,2011-05-20,2011-05-16,False,4 days
senate        Bill S575,2012-07-06,2012-05-30,False,37 days
senate        Bill S587A,2011-09-12,2011-06-15,False,89 days
senate        Bill S595A,2012-08-06,2012-06-21,True,46 days
senate        Bill S607B,2011-03-15,2011-03-08,False,7 days
senate        Bill S614B,2011-08-05,2011-06-06,False,60 days
senate        Bill S623,2011-07-22,2011-06-21,True,31 days
senate        Bill S627A,2012-07-20,2012-06-20,False,30 days
senate        Bill S656A,2011-05-27,2011-05-25,False,2 days
senate        Bill S657A,2012-05-07,2012-04-17,False,20 days
senate        Bill S663A,2011-07-29,2011-06-20,False,39 days
senate        Bill S769,2011-05-27,2011-05-23,False,4 days
senate        Bill S773,2012-07-20,2012-06-18,True,32 days
senate        Bill S801A,2011-07-22,2011-06-16,False,36 days
senate        Bill S820,2011-07-22,2011-06-23,False,29 days
